KKT_complementarity,KKT_stationarity,L4_7_signed_progress,L4_step_norm,L5_step_norm,L6_step_norm,L7_step_norm,L8_energy_share,L8_step_norm,V0,V_after,V_before,V_ratio,alias,arm,barrier_increment,barrier_value,batch,batch_entry_to_node_energy,best_single_layer,continuous_dissipation_residual,cumulative_normalized_native_work,effective_layers,entropy,finite_step_defect_reconstructed,finite_step_dissipation_defect,gain_reconstructed,joint_minus_l8_improvement,joint_objective_improvement,joint_signed_progress,l8_objective_improvement,l8_shadow_native_cosine,linear_prediction_delta_V,materialization_discrepancy_normalized,max_layer,model_error_normalized,model_error_raw_activation,node,node_wall_seconds,normalized_native_work,normalized_velocity_action_reconstructed,observed_delta_V,provenance,qN_ref,relative_joint_over_l8_improvement,response_squared_reconstructed,source_estimator_class,speed_bound,speed_excess,supported_layers,total_step_energy
NOT_RECORDED,1.1102230246251565e-16,0.0015465937394081135,0.0,0.0,0.007319800363968173,0.05328080284104494,0.9992858510227225,2.011784210060709,NOT_RECORDED,0.009336042887297386,0.03510842434526953,0.01867208227510524,llama3-8b-inst,JV_NATIVE,-0.0249927328338894,0.023067298156003675,3,171.2331043102835,8,1.474514954580286e-17,0.13731255268706288,1.005971116540832,0.005953360073357509,1.190525305267906e-06,1.1905253052106601e-06,0.06820975953935128,1.9703451328435817e-05,0.03410487976967565,0.06820975953935128,0.03408517631834721,0.9996418605189392,-0.02577357198327742,2.0304019065759663e-06,8,0.0001293418260319409,0.006134623496228336,2,NOT_RECORDED,0.007796486240827442,0.015592972481654884,-0.025772381457972143,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.000577731147610001,0.06665046229118578,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.17554212172634762,-0.15994914924469272,"[6, 7, 8]",4.050168131278344
NOT_RECORDED,5.551115123125783e-17,0.00039202799350766663,0.0,0.0,0.003692510013332043,0.027661234386167924,0.999309105413007,1.0613313894356082,NOT_RECORDED,0.002490331259062519,0.009336042887297386,0.004980661584658014,llama3-8b-inst,JV_NATIVE,-0.006628243495648641,0.016439054660355036,3,199.699812234352,8,4.391018798566293e-18,0.13948723401292515,1.0057963103957424,0.0057795764210434395,1.2732052627386498e-07,1.273205262348337e-07,0.018110591774972228,5.180799739486902e-06,0.009055295887486114,0.018110591774972228,0.009050115087746627,0.9996530537738294,-0.0068458389487611425,2.0304019065759663e-06,8,3.456258408612571e-05,0.0016381306294166091,3,NOT_RECORDED,0.002174681325862264,0.004349362651724528,-0.006845711628234867,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005721292604746867,0.01767565550979977,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.04668021443648693,-0.0423308517847624,"[6, 7, 8]",1.1272030967192836
NOT_RECORDED,3.3306690738754696e-16,0.02431276211498841,0.00017160169457438202,0.002651160945384217,0.020428880418596616,0.2062640433871345,0.9992379701770276,7.506325296483045,NOT_RECORDED,0.1323277612344083,0.5000000687642492,0.264655486071145,llama3-8b-inst,JV_NATIVE,-0.3572107269193129,0.1427893418449363,4,56.387888709472335,8,1.6653345369377348e-16,0.10461580610528015,1.0062953675189108,0.006275634467384043,0.0001216594086080186,0.00012165940860736635,0.9738095247621787,0.0003072359505113531,0.4869047623810893,0.9738095247621787,0.48659752643057796,0.9996196621480099,-0.36779396693844907,2.3881136494623596e-06,8,0.0019224842165575986,0.09332130518471006,0,NOT_RECORDED,0.10461580610528015,0.2092316122105603,-0.3676723075298409,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006309980395527257,0.9528863635411225,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000003438212457,-2.2907687316106853,"[4, 5, 6, 7, 8]",56.387888709472335
NOT_RECORDED,2.220446049250313e-16,0.006074961178677407,0.0,0.0026049181479202836,0.00821008478637467,0.10833018433173368,0.9992378929142748,3.934997022834433,NOT_RECORDED,0.035072607454641795,0.1323277612344083,0.07014520526231885,llama3-8b-inst,JV_NATIVE,-0.09437880018331785,0.048410541661618456,4,130.85398861256002,8,-6.071532165918825e-17,0.13337934206976657,1.0062834761617008,0.006263817432491094,1.5279828443189036e-05,1.5279828444125787e-05,0.25747025389092665,8.162858944757434e-05,0.1287351269454633,0.25747025389092665,0.12865349835601572,0.9996196725215272,-0.09727043360820964,2.3881136494623596e-06,8,0.0005039578092850838,0.02445773678005674,1,NOT_RECORDED,0.02876353596448641,0.05752707192897282,-0.09725515377976648,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.000634081710131494,0.2517175466980294,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6616388061720414,-0.6041117342430686,"[5, 6, 7, 8]",15.496011189643957
NOT_RECORDED,0.0,0.0015324810441310795,0.0,0.0017597811566467602,0.004261865544152608,0.055868823820576057,0.9992638038637576,2.065317777654178,NOT_RECORDED,0.00931407542410874,0.035072607454641795,0.018628148286316218,llama3-8b-inst,JV_NATIVE,-0.02496570043966801,0.02344484122195044,4,182.07598656961144,8,-1.3227266504323154e-17,0.14130765797841702,1.0060972811979292,0.006078767994285201,1.9519190497408606e-06,1.9519190499282107e-06,0.06816606947164408,2.1779454790822605e-05,0.03408303473582204,0.06816606947164408,0.03406125528103122,0.9996326618445487,-0.025760483949582788,2.3881136494623596e-06,8,0.00013280016409693206,0.006442608019865539,2,NOT_RECORDED,0.007928315908650448,0.015856631817300897,-0.025758532030533056,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006390116067901638,0.066580406289914,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.17536303727320895,-0.15950640545590805,"[5, 6, 7, 8]",4.268680108497122
NOT_RECORDED,2.7755575615628914e-17,0.00039656477423868105,0.0,0.00109098039201489,0.0025313557907975775,0.029164440201215783,0.999272290881125,1.085544918395488,NOT_RECORDED,0.0024793476737490607,0.00931407542410874,0.00495869466553629,llama3-8b-inst,JV_NATIVE,-0.006615537384188821,0.01682930383776162,4,212.15616842038102,8,1.3552527156068805e-18,0.1434995616401256,1.0060434408479444,0.0060252525026421215,2.665183403876073e-07,2.665183402770187e-07,0.018080524472419604,5.9634425973540545e-06,0.0090402622362098,0.018080524472419604,0.009034298793612446,0.9996369604907289,-0.006834994268700066,2.3881136494623596e-06,8,3.602157943298216e-05,0.0017466275307308568,3,NOT_RECORDED,0.002191903661708579,0.004383807323417158,-0.0068347277503596785,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006596537181707102,0.017642143740077887,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.046570377120543696,-0.04218656979712654,"[5, 6, 7, 8]",1.1792659324268722
NOT_RECORDED,4.440892098500626e-16,0.022696160208587852,0.0019880926606400564,0.00350855982271712,0.02548497047018107,0.19288507846745612,0.9993849546609056,7.844455112161492,NOT_RECORDED,0.13219613225479687,0.5000000495490046,0.2643922383088493,llama3-8b-inst,JV_NATIVE,-0.3571761369953053,0.14282391255369925,5,61.57334640643628,8,1.0408340855860843e-16,0.10627780298902381,1.005231822644832,0.005218184209307177,8.012940433482774e-05,8.01294043369094e-05,0.9739389376635119,0.00027822584647319015,0.48696946883175607,0.9739389376635119,0.4866912429852829,0.9996934168052746,-0.3678840466985426,2.4258668677101686e-06,8,0.0017940169409288087,0.08941201750072199,0,NOT_RECORDED,0.10627780298902381,0.21255560597804762,-0.3678039172942077,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005713414583067319,0.952683377065707,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000002477450227,-2.287444641766975,"[4, 5, 6, 7, 8]",61.57334640643628
NOT_RECORDED,1.1102230246251565e-16,0.005688705352645365,0.0011246728795196973,0.001195661542318418,0.015388614381250278,0.09801298401219723,0.9994155652530626,4.103326134079365,NOT_RECORDED,0.03500556076695751,0.13219613225479687,0.07001111459595294,llama3-8b-inst,JV_NATIVE,-0.09428094178249968,0.04854297077119956,5,142.6861363195394,8,1.0408340855860843e-17,0.13537410004242048,1.005015699384946,0.005003162667581342,8.551463808618986e-06,8.551463808931237e-06,0.2572579080675015,7.379060622886291e-05,0.12862895403375074,0.2572579080675015,0.12855516342752188,0.9997087013584445,-0.09719912295164798,2.4258668677101686e-06,8,0.0004690360907618645,0.02338404870336532,1,NOT_RECORDED,0.029096297053396673,0.058192594106793345,-0.09719057148783936,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005736702656347583,0.25143864865682214,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6609806612739844,-0.602788067167191,"[4, 5, 6, 7, 8]",16.847131411601868
NOT_RECORDED,0.0,0.001445739357848226,0.000561805840505891,0.0005043360485782551,0.008593684779802336,0.0504127474570999,0.9994339687612318,2.149139673829482,NOT_RECORDED,0.00928766594023632,0.03500556076695751,0.018575330039694415,llama3-8b-inst,JV_NATIVE,-0.024919158811293925,0.023623811959905636,5,198.35095351437647,8,0.0,0.14336146019669313,1.0048838988827533,0.004872011337937662,8.5750110892166e-07,8.575011089424767e-07,0.06805084886392879,1.9822011536878292e-05,0.03402542443196439,0.06805084886392879,0.034005602420427515,0.9997179027887458,-0.02571875232783011,2.4258668677101686e-06,8,0.00012407823748061578,0.006186380360775131,2,NOT_RECORDED,0.007987360154272649,0.015974720308545298,-0.02571789482672119,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005825647105890901,0.06645337683307426,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.17502780383478753,-0.15905308352624223,"[4, 5, 6, 7, 8]",4.621417204132811
NOT_RECORDED,5.551115123125783e-17,0.00037661731043757977,0.000307281198026301,0.00025628405007475333,0.0047492050953511335,0.02649301626211912,0.9994301571052276,1.1273176625978945,NOT_RECORDED,0.002469873102522161,0.00928766594023632,0.004939745715525356,llama3-8b-inst,JV_NATIVE,-0.006597831775436613,0.01702598018446902,5,230.98006194983225,8,5.5294310796760726e-18,0.1455610708194686,1.004918820474876,0.0049067626016212635,8.25306502366327e-08,8.253065003627214e-08,0.01803436027412003,5.46471734732927e-06,0.009017180137060016,0.01803436027412003,0.009011715419712686,0.9997160382426163,-0.006817875368364399,2.4258668677101686e-06,8,3.3758639445387405e-05,0.0016827758268914595,3,NOT_RECORDED,0.002199610622775461,0.004399221245550922,-0.006817792837714159,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006060339556564522,0.017594438149564934,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.0464383297011816,-0.04203910845563068,"[4, 5, 6, 7, 8]",1.2715697073681318
NOT_RECORDED,4.440892098500626e-16,0.024617984510636116,0.0,0.0018167263249702563,0.019546848580770514,0.231449893658956,0.9992029390795127,8.224218875576078,NOT_RECORDED,0.13237224381345636,0.5000000118309571,0.2647444813625515,llama3-8b-inst,JV_NATIVE,-0.356703402546972,0.14329660928398505,6,67.69173054644058,8,4.85722573273506e-17,0.10924365470528694,1.0065388100345498,0.006517524752774502,5.331615686993141e-05,5.33161568614382e-05,0.9731999808179693,0.00031636925007144656,0.4865999904089848,0.9731999808179693,0.4862836211589133,0.9996029129661046,-0.3676810841743707,2.0495797544685836e-06,8,0.0017744546316565072,0.08978933626238979,0,NOT_RECORDED,0.10924365470528694,0.21848730941057387,-0.36762776801750074,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006501628777377078,0.9513512498769119,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000000591547855,-2.281512749744212,"[5, 6, 7, 8]",67.69173054644058
NOT_RECORDED,1.1102230246251565e-16,0.006244013615735743,0.0,0.0016679135336621115,0.00773083540374864,0.12175337192826992,0.9991935012759869,4.294555871544636,NOT_RECORDED,0.0350882207026941,0.13237224381345636,0.0701764397448793,llama3-8b-inst,JV_NATIVE,-0.09430177294895706,0.04899483633502799,6,156.67759014436078,8,-5.4643789493269423e-17,0.13906615632333894,1.0065949019111913,0.006573250685257824,3.1489945171922495e-06,3.148994518212267e-06,0.257444292172875,8.444615407640632e-05,0.12872214608643753,0.257444292172875,0.12863769993236113,0.9995982267347587,-0.09728717210527943,2.0495797544685836e-06,8,0.0004710320229989381,0.023857203807690873,1,NOT_RECORDED,0.029822501618051993,0.059645003236103986,-0.09728402311076226,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006560343860309813,0.25147979184926467,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6618612190672818,-0.6022162158311778,"[5, 6, 7, 8]",18.45809656514601
NOT_RECORDED,5.551115123125783e-17,0.0015955361537822042,0.0,0.0009705762728458989,0.0035447944605533905,0.0634289612946633,0.9991993271582859,2.2444707249290228,NOT_RECORDED,0.009315237713469716,0.0350882207026941,0.018630474986106732,llama3-8b-inst,JV_NATIVE,-0.02495730202788983,0.02403753430713816,6,217.58724201761785,8,3.0357660829594124e-18,0.14722296593668444,1.006549172381861,0.006527819729846292,-8.846071210093231e-08,-8.846071250165344e-08,0.06818393143514305,2.2610901141841e-05,0.034091965717571525,0.06818393143514305,0.034069354816429684,0.9996011533480452,-0.02577289452851228,2.0495797544685836e-06,8,0.00012535811391662765,0.006354082514498339,2,NOT_RECORDED,0.008156809613345513,0.016313619226691025,-0.025772982989224383,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006632325436777908,0.06655256951247394,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.1754411035134705,-0.15912748428677947,"[5, 6, 7, 8]",5.041685575780402
NOT_RECORDED,2.7755575615628914e-17,0.0004150250114268832,0.0,0.0004949827294895989,0.001838556224597559,0.03332546048077587,0.999192262683745,1.174014059819437,NOT_RECORDED,0.0024771877170468365,0.009315237713469716,0.004954375316863669,llama3-8b-inst,JV_NATIVE,-0.0066145241467367435,0.017423010160401417,6,253.1856570993658,8,3.198396408832238e-18,0.1494582244335458,1.0065995387963749,0.006577857180378018,-8.100099290831234e-08,-8.100099290050608e-08,0.01808556675468917,6.1566000785391595e-06,0.009042783377344585,0.01808556675468917,0.009036626777266046,0.9995976655967461,-0.006837968995429973,2.0495797544685836e-06,8,3.401268878697264e-05,0.0017249262064549166,3,NOT_RECORDED,0.0022352584968613628,0.0044705169937227255,-0.00683804999642288,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006808302069873364,0.017638515055316894,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.046576188567348575,-0.04210567157362585,"[5, 6, 7, 8]",1.3794232242668663
NOT_RECORDED,2.220446049250313e-16,0.021272500681047517,0.0,0.006812174048436723,0.02041096869092212,0.1951088291923145,0.9994353664099686,8.258404419127311,NOT_RECORDED,0.13313524611380806,0.5000000361308523,0.26627047298645784,llama3-8b-inst,JV_NATIVE,-0.3558443811419238,0.14415565498892852,7,68.23977401844849,8,-1.97758476261356e-16,0.11020408875120445,1.0048381766617243,0.004826510299168816,4.519397664674851e-05,4.519397663721447e-05,0.9710796847330955,0.0002813103649557114,0.48553984236654774,0.9710796847330955,0.485258532001592,0.9997182181551274,-0.3669099839936909,2.451394852378259e-06,8,0.0016618871124359873,0.08451355872873079,0,NOT_RECORDED,0.11020408875120445,0.2204081775024089,-0.36686479001704425,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005793764803823086,0.9490388669828548,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000001806542613,-2.2795920031518526,"[5, 6, 7, 8]",68.23977401844849
NOT_RECORDED,1.1102230246251565e-16,0.005399392886356613,0.0,0.0031431186673819642,0.008935060023460204,0.1030320507952695,0.9994256722422686,4.316136123185095,NOT_RECORDED,0.03585378148786847,0.13313524611380806,0.07170755779402657,llama3-8b-inst,JV_NATIVE,-0.09419769157990253,0.04995796340902598,7,158.01500041044397,8,-9.367506770274758e-17,0.1410418192115751,1.0049014249550448,0.004889452078582075,4.6839312869834115e-06,4.683931287129128e-06,0.25737388078857937,7.485800695478106e-05,0.12868694039428968,0.25737388078857937,0.1286120823873349,0.9997128141056997,-0.09728614855722652,2.451394852378259e-06,8,0.0004413896740432754,0.02245276311390167,1,NOT_RECORDED,0.03083773046037066,0.06167546092074132,-0.09728146462593959,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005817063233100442,0.25120633469650533,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6656762305690402,-0.604000769648299,"[5, 6, 7, 8]",18.63973635184692
