entry,branch,from_stage,to_stage,n,lost,gained,delta_pp,tf_lost,tf_gained,desired_nll_delta_mean,desired_nll_delta_p95,desired_nll_delta_p99,desired_nll_delta_max,lost_ids,gained_ids
90,H6,W4,W5,512,7,7,0.0,6,3,0.032960916054435074,0.6897394418716428,2.2424663543701135,8.450850486755371,14a41f64bf6c288c5c1521f49973dec439309465646417cab5ab1098864f90ce;31ba891466572d8e04306bfa93a5a382d604bd51d9bf981edf84d3d98f8964c2;2db8cde4a6f17b578b74e6bffd350cdcbc9445922717472a898d7574b48a6ca9;05718e6da31428d454bdf4bbce70247be2b954bf9def7d4024a5dda367845bd0;fe2b9867bee34e1a5b506628aa288873bbd065f9ebb137f949c5db6269f18f42;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc,cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac;707b92170be0e4ff0a275655bb8a2f32a7e78a7a3d0d293e1dc0293a9701c4fb;6185d7718e727404d00c198d16e139fa863144be17e45246a5d072f437647a19;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;712adb46444ebe5cf00d0a7309a836a5c681477fea2090f175ae450fc9dceef6;b82ea2628078b16fe33594267b8965e224ce8d5571536db8c6ed71dc470e57c8;5026ca3258a337f9af9633260983daad6bc86b42b90d56c602eeaad01603427b
90,H6,W5,W6,512,5,2,-0.5859375,4,1,0.007694707368500531,0.3650123238563537,0.6085657215118407,0.9310817718505859,dc206391ba274f84aaf9553a3437bf66bfee376cd6e90277cb74b6d93746aa7f;cb11f164f2eac7f6771b0efd7b69dedb95a446cf03e8117901eca55f2c6d1138;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;fdeb13509748acff4dcdde830988f1da9a7c0955a2da77c87bb44aed62d8cada;5026ca3258a337f9af9633260983daad6bc86b42b90d56c602eeaad01603427b,ca0d597a1040dba729154549671151cdc1635cda98711e2889b6a427cfe51e8a;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca
90,H6,W6,W7,512,2,1,-0.1953125,1,1,0.023868648131610826,0.27998838424682615,0.47596383213996885,0.6843862533569336,155d20a4954ba427dba6f7881bdb54a0a932d0b7b8236d8df188e0b729489ce3;cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac,caf8298b614400be514b1a058a9a6c72e0705708e915e8d68500094d62edf040
90,H6,W7,W8,512,5,3,-0.390625,2,2,0.013987087702844292,0.29678654670715326,0.48567227840423555,0.8208656311035156,bb4abfb8f433b8d720902d8019113d60ba47154727debf95cfe6080792ed758c;17b5c92dfb0458d4a380bbd012b8d6c04da6724324cfc0e77f5ab6b05ed2779f;ac1c47f69431bcc0e2d798bf9ab5540235743cd9f17b57ed3f6126805be10db0;dc657622af98251b0d2f4139f1b96d8d838bf87068e369e0d5ec1499257fd827;135cef7c42ee732a79f39c996c5d0c6f14b6256228282e16230936aeabe3df6e,413dd795bcb0a203ca35a2ed8d2ad27a3114c06576f2979a9928ef83fa4ef0c0;9c0780468983fad48f3b0a900df3f66ce6b679615aecaaca9daef9fad0f3a2e8;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc
90,H6,W8,history,512,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,
90,H56,entry,W4,512,6,15,1.7578125,4,3,-0.010199457901762798,1.0985617876052853,2.951762814521788,8.39309024810791,9a1724d01e6363ef81021d47ddd7611c2a47eb7e6796ecc9c8a32fdfad1d3445;929c46a4aac1d01c2090a3d3c98a0f80f85c8bdd9af09ae677a4fac158535711;6b8b90859fb82f230974b6529f8dfc3a23cbc8f3736881b31da6e21046af6c8a;3a08c88ae084d762b3643c0f099cc96fd497aaf5287922b2011d94a15a18df76;44753ee8e353e73fd264e1bd98403be03cde691fa41805b472cd712f6e496b27;caf8298b614400be514b1a058a9a6c72e0705708e915e8d68500094d62edf040,14412d8cdb86f29dcc74da81929e005b5facc2d6c7190d02fb8b7fe05c7bdf66;a6e2dc5b79f650aba77c1cc0a533ef3308e8c5116de344411bdaef72239bc462;1028ea70d49ed3065545fe6dfce076b91ca29ca7d3b9a850f7ed27d52fdd25ce;5a006879fa9ae2a961dfe10ae411db75079793b2dfa81355f7fe6f517513a12a;cf0b3934bcf206cff44ed06bd4f669a2dafc9a1b64e6beaa4f43cc4ced6252b4;ba6110261e9de332a5fcbc7d885efcf70df022bcf51d572a72e4567de4f64a0b;c24d4fa28bf81479b5372ecfb11d4ffda311fc0bcfd314b7167165adf3fb7612;05718e6da31428d454bdf4bbce70247be2b954bf9def7d4024a5dda367845bd0;fe2b9867bee34e1a5b506628aa288873bbd065f9ebb137f949c5db6269f18f42;6b9fe569e017bee717cd308e05c212a2ccf7dcf5e85e4a9121dcef9e1bedbd15;fdeb13509748acff4dcdde830988f1da9a7c0955a2da77c87bb44aed62d8cada;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca;1fbb6e6279285c0cd092e5935cdd01437db582eece3f80a0abc40920aa69f4e2;c187388064d234d85148d11b1b4a207c2034560fc666163e2d3a75099b3b9298;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc
90,H56,W4,W5,512,7,6,-0.1953125,6,3,0.033667219657218084,0.6907808303833007,2.2366299057006813,8.543822288513184,14a41f64bf6c288c5c1521f49973dec439309465646417cab5ab1098864f90ce;31ba891466572d8e04306bfa93a5a382d604bd51d9bf981edf84d3d98f8964c2;2db8cde4a6f17b578b74e6bffd350cdcbc9445922717472a898d7574b48a6ca9;05718e6da31428d454bdf4bbce70247be2b954bf9def7d4024a5dda367845bd0;fe2b9867bee34e1a5b506628aa288873bbd065f9ebb137f949c5db6269f18f42;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc,cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac;707b92170be0e4ff0a275655bb8a2f32a7e78a7a3d0d293e1dc0293a9701c4fb;6185d7718e727404d00c198d16e139fa863144be17e45246a5d072f437647a19;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;712adb46444ebe5cf00d0a7309a836a5c681477fea2090f175ae450fc9dceef6;b82ea2628078b16fe33594267b8965e224ce8d5571536db8c6ed71dc470e57c8
90,H56,W5,W6,512,4,2,-0.390625,4,1,0.007713790037087165,0.3710241317749023,0.6165209722518918,0.9442272186279297,dc206391ba274f84aaf9553a3437bf66bfee376cd6e90277cb74b6d93746aa7f;cb11f164f2eac7f6771b0efd7b69dedb95a446cf03e8117901eca55f2c6d1138;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;fdeb13509748acff4dcdde830988f1da9a7c0955a2da77c87bb44aed62d8cada,ca0d597a1040dba729154549671151cdc1635cda98711e2889b6a427cfe51e8a;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca
90,H56,W6,W7,512,2,1,-0.1953125,1,1,0.023582816080306657,0.27978401184082025,0.4757082927227018,0.6812849044799805,155d20a4954ba427dba6f7881bdb54a0a932d0b7b8236d8df188e0b729489ce3;cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac,caf8298b614400be514b1a058a9a6c72e0705708e915e8d68500094d62edf040
90,H56,W7,W8,512,5,3,-0.390625,1,2,0.01385647950519342,0.2985407590866089,0.4812887239456174,0.8263769149780273,bb4abfb8f433b8d720902d8019113d60ba47154727debf95cfe6080792ed758c;17b5c92dfb0458d4a380bbd012b8d6c04da6724324cfc0e77f5ab6b05ed2779f;ac1c47f69431bcc0e2d798bf9ab5540235743cd9f17b57ed3f6126805be10db0;dc657622af98251b0d2f4139f1b96d8d838bf87068e369e0d5ec1499257fd827;135cef7c42ee732a79f39c996c5d0c6f14b6256228282e16230936aeabe3df6e,413dd795bcb0a203ca35a2ed8d2ad27a3114c06576f2979a9928ef83fa4ef0c0;9c0780468983fad48f3b0a900df3f66ce6b679615aecaaca9daef9fad0f3a2e8;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc
90,H56,W8,history,512,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,
90,MASS56,entry,W4,512,6,15,1.7578125,4,3,-0.010199457901762798,1.0985617876052853,2.951762814521788,8.39309024810791,9a1724d01e6363ef81021d47ddd7611c2a47eb7e6796ecc9c8a32fdfad1d3445;929c46a4aac1d01c2090a3d3c98a0f80f85c8bdd9af09ae677a4fac158535711;6b8b90859fb82f230974b6529f8dfc3a23cbc8f3736881b31da6e21046af6c8a;3a08c88ae084d762b3643c0f099cc96fd497aaf5287922b2011d94a15a18df76;44753ee8e353e73fd264e1bd98403be03cde691fa41805b472cd712f6e496b27;caf8298b614400be514b1a058a9a6c72e0705708e915e8d68500094d62edf040,14412d8cdb86f29dcc74da81929e005b5facc2d6c7190d02fb8b7fe05c7bdf66;a6e2dc5b79f650aba77c1cc0a533ef3308e8c5116de344411bdaef72239bc462;1028ea70d49ed3065545fe6dfce076b91ca29ca7d3b9a850f7ed27d52fdd25ce;5a006879fa9ae2a961dfe10ae411db75079793b2dfa81355f7fe6f517513a12a;cf0b3934bcf206cff44ed06bd4f669a2dafc9a1b64e6beaa4f43cc4ced6252b4;ba6110261e9de332a5fcbc7d885efcf70df022bcf51d572a72e4567de4f64a0b;c24d4fa28bf81479b5372ecfb11d4ffda311fc0bcfd314b7167165adf3fb7612;05718e6da31428d454bdf4bbce70247be2b954bf9def7d4024a5dda367845bd0;fe2b9867bee34e1a5b506628aa288873bbd065f9ebb137f949c5db6269f18f42;6b9fe569e017bee717cd308e05c212a2ccf7dcf5e85e4a9121dcef9e1bedbd15;fdeb13509748acff4dcdde830988f1da9a7c0955a2da77c87bb44aed62d8cada;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca;1fbb6e6279285c0cd092e5935cdd01437db582eece3f80a0abc40920aa69f4e2;c187388064d234d85148d11b1b4a207c2034560fc666163e2d3a75099b3b9298;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc
90,MASS56,W4,W5,512,7,7,0.0,6,3,0.03298030878067948,0.6897233963012693,2.24315879821777,8.449868202209473,14a41f64bf6c288c5c1521f49973dec439309465646417cab5ab1098864f90ce;31ba891466572d8e04306bfa93a5a382d604bd51d9bf981edf84d3d98f8964c2;2db8cde4a6f17b578b74e6bffd350cdcbc9445922717472a898d7574b48a6ca9;05718e6da31428d454bdf4bbce70247be2b954bf9def7d4024a5dda367845bd0;fe2b9867bee34e1a5b506628aa288873bbd065f9ebb137f949c5db6269f18f42;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc,cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac;707b92170be0e4ff0a275655bb8a2f32a7e78a7a3d0d293e1dc0293a9701c4fb;6185d7718e727404d00c198d16e139fa863144be17e45246a5d072f437647a19;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;712adb46444ebe5cf00d0a7309a836a5c681477fea2090f175ae450fc9dceef6;b82ea2628078b16fe33594267b8965e224ce8d5571536db8c6ed71dc470e57c8;5026ca3258a337f9af9633260983daad6bc86b42b90d56c602eeaad01603427b
90,MASS56,W5,W6,512,6,2,-0.78125,4,1,0.013676227958058007,0.37052989006042464,0.6776360034942626,1.0086555480957031,155d20a4954ba427dba6f7881bdb54a0a932d0b7b8236d8df188e0b729489ce3;dc206391ba274f84aaf9553a3437bf66bfee376cd6e90277cb74b6d93746aa7f;cb11f164f2eac7f6771b0efd7b69dedb95a446cf03e8117901eca55f2c6d1138;5a9b0e4817d5391315aad3e406517573d4acfc2fe52e7ab0411c5ed1bc6b80c6;fdeb13509748acff4dcdde830988f1da9a7c0955a2da77c87bb44aed62d8cada;5026ca3258a337f9af9633260983daad6bc86b42b90d56c602eeaad01603427b,ca0d597a1040dba729154549671151cdc1635cda98711e2889b6a427cfe51e8a;7b502d05fb6582b2fc4b8accf870c5a64cc0a8e29ba6f0f3c42b4af82cf061ca
90,MASS56,W6,W7,512,1,1,0.0,1,1,0.0240222306601936,0.2784324169158935,0.46501786112785326,0.7181692123413086,cabc243b55b65b654438eb3d4baa4f45c0ca8b9efa0e3d0e64e070b7beee5aac,caf8298b614400be514b1a058a9a6c72e0705708e915e8d68500094d62edf040
90,MASS56,W7,W8,512,5,3,-0.390625,2,2,0.014200365520082414,0.2987034320831298,0.4873543643951413,0.8193807601928711,bb4abfb8f433b8d720902d8019113d60ba47154727debf95cfe6080792ed758c;17b5c92dfb0458d4a380bbd012b8d6c04da6724324cfc0e77f5ab6b05ed2779f;ac1c47f69431bcc0e2d798bf9ab5540235743cd9f17b57ed3f6126805be10db0;dc657622af98251b0d2f4139f1b96d8d838bf87068e369e0d5ec1499257fd827;135cef7c42ee732a79f39c996c5d0c6f14b6256228282e16230936aeabe3df6e,413dd795bcb0a203ca35a2ed8d2ad27a3114c06576f2979a9928ef83fa4ef0c0;9c0780468983fad48f3b0a900df3f66ce6b679615aecaaca9daef9fad0f3a2e8;247782edb28521b576d90b4c76f18f83296074afc0a0070f07cf8016f1ebfdbc
90,MASS56,W8,history,512,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,
