cell,batch,arm,diagnostic,status,source,evidence_path,endpoint_available,endpoint_sha,source_lock,context_capsule,comparison,evidence_missing,compute_unit,new_native_fit,new_gradient,new_forward,capsule_id,technical_validation,prior_cost,forbidden
M-O0-b001-RAND+,1,RAND+,observer,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-RAND-,1,RAND-,shared_native,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Exact cold7 B1 retained WN/z/K/P/M0/context/seed; no fit repeat,b001-shared-native-once,False,False,False,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-RAND-,1,RAND-,endpoint_optimization_or_geometry,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-RAND-,1,RAND-,observer,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-N4,2,N4,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,True,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-N4,2,N4,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Requires this independent cold episode native endpoint,endpoint_optimization_or_geometry,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-N4,2,N4,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-SCALE,2,SCALE,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-SCALE,2,SCALE,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-SCALE,2,SCALE,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-CA,2,CA,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-CA,2,CA,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-CA,2,CA,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-KL-P,2,KL-P,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-KL-P,2,KL-P,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-KL-P,2,KL-P,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-S,2,EN-S,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-S,2,EN-S,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-S,2,EN-S,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F,2,EN-F,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F,2,EN-F,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F,2,EN-F,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-COV,2,EN-COV,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-COV,2,EN-COV,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-COV,2,EN-COV,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F4,2,EN-F4,shared_native,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Existing sequential B2+ entry is not W0/M0; prior independent reset family uses different target/editor configuration,b002-shared-native-once,False,False,False,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F4,2,EN-F4,endpoint_optimization_or_geometry,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b002-EN-F4,2,EN-F4,observer,RUN_MISSING,historical sequential or different independent editor,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B002/entry.json,False,,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b002,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,REFERENCE_ONLY,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
